商区名称,评论总和,评论平均数,商铺总和,经度,纬度
佘山,50986.0,195.34865900383141,261,121.21599583524912,31.10032931034482
九亭,62851.0,202.09324758842445,311,121.32028321864951,31.139633688102872
泗泾,21973.0,72.27960526315789,304,121.27075625000005,31.116863365131604
新桥,28503.0,93.45245901639345,305,121.3380703409836,31.08281419016394
开元地中海,63915.0,301.4858490566038,212,121.21932736792458,31.038540410377372
松东路,6772.0,48.02836879432624,141,121.25499249645385,31.01373524822695
江学路,19020.0,52.833333333333336,360,121.21575657777764,31.03595753333331
荣乐中路,3641.0,23.490322580645163,155,121.23337778064513,31.02138640645163
中山中路,18990.0,54.884393063583815,346,121.23304740751443,31.008526182080942
人民北路,619.0,19.967741935483872,31,121.22784887096773,31.012587483870963
飞航广场,2621.0,7.240331491712707,362,121.20823430110498,31.01327306077348
泰晤士小镇,26745.0,86.83441558441558,308,121.19408987012989,31.031982467532444
新松江路,23989.0,216.11711711711712,111,121.21402922522516,31.039129261261266
鹿都国际商业广场,31514.0,76.86341463414634,410,121.23704832926803,31.009175241463364
松江万达,96504.0,264.3945205479452,365,121.37744879999971,31.081938531506783
新理想广场,7461.0,27.43014705882353,272,121.1976329191179,31.020110176470634
欢乐谷,2419.0,10.079166666666667,240,121.27680098333329,31.085261124999978
车墩影视城,3636.0,15.341772151898734,237,121.30840074261594,31.016901751054842
叶榭镇,994.0,2.300925925925926,432,121.30797219212964,30.947255425925878
外冈,594.0,1.120754716981132,530,121.17661401698115,31.3573543943396
南翔,107989.0,234.7586956521739,460,121.31550155652172,31.29401265434786
安亭,104005.0,258.0769230769231,403,121.16657693796523,31.291232352357316
嘉定镇,148887.0,263.0512367491166,566,121.25285065194333,31.37651529858657
江桥,150946.0,286.4250474383302,527,121.33510239468706,31.247832745730598
丰庄,60123.0,156.16363636363636,385,121.36444216363635,31.246978875324633
罗宾森广场,38658.0,420.19565217391306,92,121.2458151086956,31.383087239130454
博乐广场,4710.0,79.83050847457628,59,121.25320872881352,31.380832474576266
马陆,29673.0,113.2557251908397,262,121.2789084274809,31.327871007633586
新源路,8368.0,25.05389221556886,334,121.16375115269456,31.29581819461082
戬浜,135.0,0.5487804878048781,246,121.29555214634149,31.374552788617894
黄渡,6507.0,17.73024523160763,367,121.22504994005459,31.271836103542263
嘉定新城,61105.0,139.50913242009133,438,121.2639144885842,31.33576940639268
陆渡镇,176.0,2.8852459016393444,61,121.2125344098361,31.45848272131148
华亭镇,2612.0,6.233890214797136,419,121.27262215274476,31.441051346062086
封浜镇,782.0,1.964824120603015,398,121.29399384422126,31.26814908793971
上海国家会展中心,11026.0,47.731601731601735,231,121.30902365367965,31.18987552380951
朱家角,50801.0,150.74480712166172,337,121.05835782789313,31.106989145400565
青浦城区,62233.0,162.48825065274153,383,121.1334312845953,31.156388994778094
重固,1576.0,4.554913294797688,346,121.18677779479778,31.194892242774575
赵巷,37340.0,119.67948717948718,312,121.22365000961534,31.157129766025662
华新,3923.0,10.084832904884319,389,121.22782144473001,31.241132478149105
